ts,source,step,exe,cmdline,user,pid,src_ip,src_port,excerpt,source_file
2025-12-10 11:43:03.647,syslog,AUTH,sshd,,azure,75377,185.246.128.171,40389,Invalid user azure from 185.246.128.171 port 40389 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:43:03.648,syslog,AUTH,sshd,,,75377,,,pam_unix(sshd:auth): check pass user unknown | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:43:03.648,syslog,AUTH,sshd,,,75377,,,pam_unix(sshd:auth): authentication failure logname= uid=0 euid=0 tty=ssh ruser= rhost=185.246.128.171 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:43:05.596,syslog,AUTH,sshd,,azure,75377,185.246.128.171,40389,Failed password for invalid user azure from 185.246.128.171 port 40389 ssh2 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:43:06.300,syslog,AUTH,sshd,,,75377,,,"Disconnecting invalid user azure 185.246.128.171 port 40389: Change of username or service not allowed: (azure,ssh-connection) -> (amir,ssh-connection) [preauth] | sshd",/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:43:10.170,syslog,AUTH,sshd,,amir,75512,185.246.128.171,39307,Invalid user amir from 185.246.128.171 port 39307 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:43:10.172,syslog,AUTH,sshd,,,75512,,,pam_unix(sshd:auth): check pass user unknown | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:43:10.172,syslog,AUTH,sshd,,,75512,,,pam_unix(sshd:auth): authentication failure logname= uid=0 euid=0 tty=ssh ruser= rhost=185.246.128.171 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:43:12.414,syslog,AUTH,sshd,,amir,75512,185.246.128.171,39307,Failed password for invalid user amir from 185.246.128.171 port 39307 ssh2 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:43:12.708,syslog,AUTH,sshd,,,75512,,,"Disconnecting invalid user amir 185.246.128.171 port 39307: Change of username or service not allowed: (amir,ssh-connection) -> (prueba,ssh-connection) [preauth] | sshd",/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:43:17.179,syslog,AUTH,sshd,,prueba,75603,185.246.128.171,55922,Invalid user prueba from 185.246.128.171 port 55922 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:43:17.181,syslog,AUTH,sshd,,,75603,,,pam_unix(sshd:auth): check pass user unknown | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:43:17.181,syslog,AUTH,sshd,,,75603,,,pam_unix(sshd:auth): authentication failure logname= uid=0 euid=0 tty=ssh ruser= rhost=185.246.128.171 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:43:19.383,syslog,AUTH,sshd,,prueba,75603,185.246.128.171,55922,Failed password for invalid user prueba from 185.246.128.171 port 55922 ssh2 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:43:21.671,syslog,AUTH,sshd,,,75603,,,"Disconnecting invalid user prueba 185.246.128.171 port 55922: Change of username or service not allowed: (prueba,ssh-connection) -> (system,ssh-connection) [preauth] | sshd",/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:43:25.632,syslog,AUTH,sshd,,system,75642,185.246.128.171,50137,Invalid user system from 185.246.128.171 port 50137 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:43:25.634,syslog,AUTH,sshd,,,75642,,,pam_unix(sshd:auth): check pass user unknown | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:43:25.634,syslog,AUTH,sshd,,,75642,,,pam_unix(sshd:auth): authentication failure logname= uid=0 euid=0 tty=ssh ruser= rhost=185.246.128.171 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:43:26.971,syslog,AUTH,sshd,,minecraft,75681,125.31.2.160,39940,Invalid user minecraft from 125.31.2.160 port 39940 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:43:26.973,syslog,AUTH,sshd,,,75681,,,pam_unix(sshd:auth): check pass user unknown | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:43:26.976,syslog,AUTH,sshd,,,75681,,,pam_unix(sshd:auth): authentication failure logname= uid=0 euid=0 tty=ssh ruser= rhost=125.31.2.160 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:43:27.602,syslog,AUTH,sshd,,system,75642,185.246.128.171,50137,Failed password for invalid user system from 185.246.128.171 port 50137 ssh2 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:43:28.744,syslog,AUTH,sshd,,minecraft,75681,125.31.2.160,39940,Failed password for invalid user minecraft from 125.31.2.160 port 39940 ssh2 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:43:29.929,syslog,AUTH,sshd,,,75681,,,Disconnected from invalid user minecraft 125.31.2.160 port 39940 [preauth] | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:43:30.188,syslog,AUTH,sshd,,,75642,,,"Disconnecting invalid user system 185.246.128.171 port 50137: Change of username or service not allowed: (system,ssh-connection) -> (backup,ssh-connection) [preauth] | sshd",/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:43:32.525,syslog,AUTH,sshd,,,75705,,,pam_unix(sshd:auth): authentication failure logname= uid=0 euid=0 tty=ssh ruser= rhost=185.246.128.171 user=backup | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:43:34.789,syslog,AUTH,sshd,,backup,75705,185.246.128.171,36114,Failed password for backup from 185.246.128.171 port 36114 ssh2 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:43:40.169,syslog,AUTH,sshd,,cloudera,75756,185.246.128.171,44295,Invalid user cloudera from 185.246.128.171 port 44295 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:43:40.171,syslog,AUTH,sshd,,,75756,,,pam_unix(sshd:auth): check pass user unknown | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:43:40.171,syslog,AUTH,sshd,,,75756,,,pam_unix(sshd:auth): authentication failure logname= uid=0 euid=0 tty=ssh ruser= rhost=185.246.128.171 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:43:42.198,syslog,AUTH,sshd,,cloudera,75756,185.246.128.171,44295,Failed password for invalid user cloudera from 185.246.128.171 port 44295 ssh2 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:43:43.465,syslog,AUTH,sshd,,,75756,,,"Disconnecting invalid user cloudera 185.246.128.171 port 44295: Change of username or service not allowed: (cloudera,ssh-connection) -> (alex,ssh-connection) [preauth] | sshd",/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:43:44.378,syslog,AUTH,sshd,,alex,75793,185.246.128.171,62249,Invalid user alex from 185.246.128.171 port 62249 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:43:44.380,syslog,AUTH,sshd,,,75793,,,pam_unix(sshd:auth): check pass user unknown | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:43:44.380,syslog,AUTH,sshd,,,75793,,,pam_unix(sshd:auth): authentication failure logname= uid=0 euid=0 tty=ssh ruser= rhost=185.246.128.171 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:43:46.623,syslog,AUTH,sshd,,alex,75793,185.246.128.171,62249,Failed password for invalid user alex from 185.246.128.171 port 62249 ssh2 | sshd,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
2025-12-10 11:43:47.281,syslog,AUTH,sshd,,,75793,,,"Disconnecting invalid user alex 185.246.128.171 port 62249: Change of username or service not allowed: (alex,ssh-connection) -> (finance,ssh-connection) [preauth] | sshd",/Users/zhuoran/Projects/SSCMDataset/sanidata/sc2/attacker/azure_syslog.csv
