ts,source,step,exe,cmdline,user,pid,ppid,src_ip,src_port,dst_ip,dst_port,proto,excerpt,source_file
2025-12-14 14:03:20.188957,auth,INSTALL,,,,,,,,,,,2025-12-14T09:03:20.188957-05:00 HOST_602 sudo: azureofficer : TTY=pts/0 ; PWD=/home/azureofficer/Downloads/SSCMDataset-main/scenarios/sc3/apt_mac ; USER=root ; COMMAND=/usr/bin/apt install nodejs,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc4/auth.log
2025-12-14 14:10:21.934470,auth,INSTALL,,,,,,,,,,,2025-12-14T09:10:21.934470-05:00 HOST_602 sudo: azureofficer : TTY=pts/0 ; PWD=/home/azureofficer/Downloads/SSCMDataset-main/scenarios/sc3/olymptrade ; USER=root ; COMMAND=/usr/bin/apt install npm,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc4/auth.log
2025-12-14 15:00:14.181759,auth,INSTALL,,,,,,,,,,,2025-12-14T10:00:14.181759-05:00 HOST_602 sudo: azureofficer : TTY=pts/0 ; PWD=/home/azureofficer/Downloads ; USER=root ; COMMAND=/usr/bin/apt install subversion,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc4/auth.log
2025-12-14 15:27:48.930643,auth,INSTALL,,,,,,,,,,,2025-12-14T10:27:48.930643-05:00 HOST_602 sudo: azureofficer : TTY=pts/0 ; PWD=/var/log/audit ; USER=root ; COMMAND=/usr/bin/apt install audit audispd-plugins,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc4/auth.log
2025-12-14 15:27:54.758291,auth,INSTALL,,,,,,,,,,,2025-12-14T10:27:54.758291-05:00 HOST_602 sudo: azureofficer : TTY=pts/0 ; PWD=/var/log/audit ; USER=root ; COMMAND=/usr/bin/apt install auditd audispd-plugins,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc4/auth.log
2025-12-14 16:13:13.416763,auth,INSTALL,,,,,,,,,,,2025-12-14T11:13:13.416763-05:00 HOST_602 sudo: azureofficer : TTY=pts/0 ; PWD=/var/log ; USER=root ; COMMAND=/usr/bin/apt install auditd audispd-plugins,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc4/auth.log
2025-12-15 13:57:44.082000,syslog,INSTALL,sudo,/usr/bin/apt install -y nodejs,Newt,,,,,,,,/usr/bin/apt install -y nodejs | Newt : TTY=pts/0 PWD=/opt/attack-server USER=root COMMAND=/usr/bin/apt install -y nodejs | sudo,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc4/azure_syslog.csv
2025-12-15 13:58:07.515000,syslog,INSTALL,sudo,/usr/bin/apt install -y nodejs,Newt,,,,,,,,/usr/bin/apt install -y nodejs | Newt : TTY=pts/0 PWD=/opt/attack-server USER=root COMMAND=/usr/bin/apt install -y nodejs | sudo,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc4/azure_syslog.csv
2025-12-15 13:59:30.546000,syslog,INSTALL,sudo,/usr/bin/apt install -y nodejs,Newt,,,,,,,,/usr/bin/apt install -y nodejs | Newt : TTY=pts/0 PWD=/opt/attack-server USER=root COMMAND=/usr/bin/apt install -y nodejs | sudo,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc4/azure_syslog.csv
2025-12-15 11:31:36.279000,syslog,INSTALL,sudo,/usr/bin/apt-get install ubuntu-advantage-tools -y,root,,,,,,,,/usr/bin/apt-get install ubuntu-advantage-tools -y | root : PWD=/var/lib/waagent/Microsoft.CPlat.Core.LinuxPatchExtension-1.6.64 USER=root COMMAND=/usr/bin/apt-get install ubuntu-advantage-tools -y | sudo,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc4/azure_syslog.csv
