scenario,scenario_key,name,budget,source_set,rate,seed,n_expected_steps,step_recall,chain_recall,reconstructability,n_events_pre_sampling,n_events
SC1,sc1,Stegano,single,azure_conn,1.0,0,4,0.0,0.0,0.0,5746,5746
SC1,sc1,Stegano,single,azure_process,1.0,0,4,0.25,0.25,0.25,345,345
SC1,sc1,Stegano,single,azure_security,1.0,0,4,0.0,0.0,0.0,334,334
SC1,sc1,Stegano,single,azure_events,1.0,0,4,0.0,0.0,0.0,1000,1000
SC1,sc1,Stegano,single,azure_port,1.0,0,4,0.0,0.0,0.0,1109,1109
SC1,sc1,Stegano,single,azure_conn,1.0,1,4,0.0,0.0,0.0,5746,5746
SC1,sc1,Stegano,single,azure_process,1.0,1,4,0.25,0.25,0.25,345,345
SC1,sc1,Stegano,single,azure_security,1.0,1,4,0.0,0.0,0.0,334,334
SC1,sc1,Stegano,single,azure_events,1.0,1,4,0.0,0.0,0.0,1000,1000
SC1,sc1,Stegano,single,azure_port,1.0,1,4,0.0,0.0,0.0,1109,1109
SC1,sc1,Stegano,single,azure_conn,1.0,2,4,0.0,0.0,0.0,5746,5746
SC1,sc1,Stegano,single,azure_process,1.0,2,4,0.25,0.25,0.25,345,345
SC1,sc1,Stegano,single,azure_security,1.0,2,4,0.0,0.0,0.0,334,334
SC1,sc1,Stegano,single,azure_events,1.0,2,4,0.0,0.0,0.0,1000,1000
SC1,sc1,Stegano,single,azure_port,1.0,2,4,0.0,0.0,0.0,1109,1109
SC1,sc1,Stegano,single,azure_conn,1.0,3,4,0.0,0.0,0.0,5746,5746
SC1,sc1,Stegano,single,azure_process,1.0,3,4,0.25,0.25,0.25,345,345
SC1,sc1,Stegano,single,azure_security,1.0,3,4,0.0,0.0,0.0,334,334
SC1,sc1,Stegano,single,azure_events,1.0,3,4,0.0,0.0,0.0,1000,1000
SC1,sc1,Stegano,single,azure_port,1.0,3,4,0.0,0.0,0.0,1109,1109
SC1,sc1,Stegano,single,azure_conn,1.0,4,4,0.0,0.0,0.0,5746,5746
SC1,sc1,Stegano,single,azure_process,1.0,4,4,0.25,0.25,0.25,345,345
SC1,sc1,Stegano,single,azure_security,1.0,4,4,0.0,0.0,0.0,334,334
SC1,sc1,Stegano,single,azure_events,1.0,4,4,0.0,0.0,0.0,1000,1000
SC1,sc1,Stegano,single,azure_port,1.0,4,4,0.0,0.0,0.0,1109,1109
SC1,sc1,Stegano,single,azure_conn,0.75,0,4,0.0,0.0,0.0,5746,4306
SC1,sc1,Stegano,single,azure_process,0.75,0,4,0.25,0.25,0.25,345,257
SC1,sc1,Stegano,single,azure_security,0.75,0,4,0.0,0.0,0.0,334,245
SC1,sc1,Stegano,single,azure_events,0.75,0,4,0.0,0.0,0.0,1000,747
SC1,sc1,Stegano,single,azure_port,0.75,0,4,0.0,0.0,0.0,1109,831
SC1,sc1,Stegano,single,azure_conn,0.75,1,4,0.0,0.0,0.0,5746,4299
SC1,sc1,Stegano,single,azure_process,0.75,1,4,0.25,0.25,0.25,345,258
SC1,sc1,Stegano,single,azure_security,0.75,1,4,0.0,0.0,0.0,334,249
SC1,sc1,Stegano,single,azure_events,0.75,1,4,0.0,0.0,0.0,1000,754
SC1,sc1,Stegano,single,azure_port,0.75,1,4,0.0,0.0,0.0,1109,826
SC1,sc1,Stegano,single,azure_conn,0.75,2,4,0.0,0.0,0.0,5746,4288
SC1,sc1,Stegano,single,azure_process,0.75,2,4,0.25,0.25,0.25,345,256
SC1,sc1,Stegano,single,azure_security,0.75,2,4,0.0,0.0,0.0,334,261
SC1,sc1,Stegano,single,azure_events,0.75,2,4,0.0,0.0,0.0,1000,766
SC1,sc1,Stegano,single,azure_port,0.75,2,4,0.0,0.0,0.0,1109,833
SC1,sc1,Stegano,single,azure_conn,0.75,3,4,0.0,0.0,0.0,5746,4278
SC1,sc1,Stegano,single,azure_process,0.75,3,4,0.25,0.25,0.25,345,258
SC1,sc1,Stegano,single,azure_security,0.75,3,4,0.0,0.0,0.0,334,254
SC1,sc1,Stegano,single,azure_events,0.75,3,4,0.0,0.0,0.0,1000,731
SC1,sc1,Stegano,single,azure_port,0.75,3,4,0.0,0.0,0.0,1109,835
SC1,sc1,Stegano,single,azure_conn,0.75,4,4,0.0,0.0,0.0,5746,4330
SC1,sc1,Stegano,single,azure_process,0.75,4,4,0.25,0.25,0.25,345,263
SC1,sc1,Stegano,single,azure_security,0.75,4,4,0.0,0.0,0.0,334,246
SC1,sc1,Stegano,single,azure_events,0.75,4,4,0.0,0.0,0.0,1000,755
SC1,sc1,Stegano,single,azure_port,0.75,4,4,0.0,0.0,0.0,1109,831
SC1,sc1,Stegano,single,azure_conn,0.5,0,4,0.0,0.0,0.0,5746,2866
SC1,sc1,Stegano,single,azure_process,0.5,0,4,0.25,0.25,0.25,345,169
SC1,sc1,Stegano,single,azure_security,0.5,0,4,0.0,0.0,0.0,334,158
SC1,sc1,Stegano,single,azure_events,0.5,0,4,0.0,0.0,0.0,1000,505
SC1,sc1,Stegano,single,azure_port,0.5,0,4,0.0,0.0,0.0,1109,527
SC1,sc1,Stegano,single,azure_conn,0.5,1,4,0.0,0.0,0.0,5746,2898
SC1,sc1,Stegano,single,azure_process,0.5,1,4,0.25,0.25,0.25,345,177
SC1,sc1,Stegano,single,azure_security,0.5,1,4,0.0,0.0,0.0,334,159
SC1,sc1,Stegano,single,azure_events,0.5,1,4,0.0,0.0,0.0,1000,499
SC1,sc1,Stegano,single,azure_port,0.5,1,4,0.0,0.0,0.0,1109,549
SC1,sc1,Stegano,single,azure_conn,0.5,2,4,0.0,0.0,0.0,5746,2910
SC1,sc1,Stegano,single,azure_process,0.5,2,4,0.25,0.25,0.25,345,157
SC1,sc1,Stegano,single,azure_security,0.5,2,4,0.0,0.0,0.0,334,167
SC1,sc1,Stegano,single,azure_events,0.5,2,4,0.0,0.0,0.0,1000,531
