Scenario,Technique,Tactics,SourceFiles
Stegano,T1001,collection;command-and-control;credential-access;defense-evasion;discovery;execution;exfiltration;impact;initial-access;lateral-movement;persistence;privilege-escalation;reconnaissance;resource-development,../sanidata/sc1/payload_ttps_3.json
Stegano,T1001.002,collection;command-and-control;credential-access;defense-evasion;discovery;execution;exfiltration;impact;initial-access;lateral-movement;persistence;privilege-escalation;reconnaissance;resource-development,../sanidata/sc1/payload_ttps_3.json
Stegano,T1003,collection;command-and-control;credential-access;defense-evasion;discovery;execution;exfiltration;impact;initial-access;lateral-movement;persistence;privilege-escalation;reconnaissance;resource-development,../sanidata/sc1/attack_navigator_cmds.json
Stegano,T1003.006,collection;command-and-control;credential-access;defense-evasion;discovery;execution;exfiltration;impact;initial-access;lateral-movement;persistence;privilege-escalation;reconnaissance;resource-development,../sanidata/sc1/attack_navigator_cmds.json
Stegano,T1005,collection;command-and-control;credential-access;defense-evasion;discovery;execution;exfiltration;impact;initial-access;lateral-movement;persistence;privilege-escalation;reconnaissance;resource-development,../sanidata/sc1/attack_navigator_cmds.json
Stegano,T1007,collection;command-and-control;credential-access;defense-evasion;discovery;execution;exfiltration;impact;initial-access;lateral-movement;persistence;privilege-escalation;reconnaissance;resource-development,../sanidata/sc1/attack_navigator_cmds.json
Stegano,T1010,collection;command-and-control;credential-access;defense-evasion;discovery;execution;exfiltration;impact;initial-access;lateral-movement;persistence;privilege-escalation;reconnaissance;resource-development,../sanidata/sc1/attack_navigator_cmds.json
Stegano,T1012,collection;command-and-control;credential-access;defense-evasion;discovery;execution;exfiltration;impact;initial-access;lateral-movement;persistence;privilege-escalation;reconnaissance;resource-development,../sanidata/sc1/attack_navigator_cmds.json
Stegano,T1020,collection;command-and-control;credential-access;defense-evasion;discovery;execution;exfiltration;impact;initial-access;lateral-movement;persistence;privilege-escalation;reconnaissance;resource-development,../sanidata/sc1/attack_navigator_cmds.json;../sanidata/sc1/attack_navigator_tasks.json
Stegano,T1021,collection;command-and-control;credential-access;defense-evasion;discovery;execution;exfiltration;impact;initial-access;lateral-movement;persistence;privilege-escalation;reconnaissance;resource-development,../sanidata/sc1/attack_navigator_cmds.json
Stegano,T1025,collection;command-and-control;credential-access;defense-evasion;discovery;execution;exfiltration;impact;initial-access;lateral-movement;persistence;privilege-escalation;reconnaissance;resource-development,../sanidata/sc1/attack_navigator_cmds.json
