scenario,name,mode,source_set,n_events,expected_steps,n_expected_steps,observed_steps,n_tagged_steps,chain_steps,n_chain_steps,reconstructability,reconstructability_mode,proxy_reconstructability,step_recall,step_precision,chain_recall,chain_precision,tagger_total_hits,tagger_missing_fields_events,tagger_missing_prefilter_events,tagger_used_prefilter_conditions,tagger_unusable_rules,observed_techniques,aligned_techniques,missing_expected_techniques,unexpected_observed_techniques,failure_keys
SC1,Stegano,single,azure_conn,0,"['AUTH', 'DOWNLOAD', 'OUTBOUND_CONN']",3,[],0,[],0,0.0,expected_recall,,0.0,,0.0,,0,0,0,0,[],,,,,"['MISSING_AUTH', 'MISSING_DOWNLOAD', 'MISSING_OUTBOUND_CONN']"
SC1,Stegano,single,azure_process,0,"['AUTH', 'DOWNLOAD', 'OUTBOUND_CONN']",3,[],0,[],0,0.0,expected_recall,,0.0,,0.0,,0,0,0,0,[],,,,,"['MISSING_AUTH', 'MISSING_DOWNLOAD', 'MISSING_OUTBOUND_CONN']"
SC1,Stegano,single,azure_security,0,"['AUTH', 'DOWNLOAD', 'OUTBOUND_CONN']",3,[],0,[],0,0.0,expected_recall,,0.0,,0.0,,0,0,0,0,[],,,,,"['MISSING_AUTH', 'MISSING_DOWNLOAD', 'MISSING_OUTBOUND_CONN']"
SC1,Stegano,single,azure_events,0,"['AUTH', 'DOWNLOAD', 'OUTBOUND_CONN']",3,[],0,[],0,0.0,expected_recall,,0.0,,0.0,,0,0,0,0,[],,,,,"['MISSING_AUTH', 'MISSING_DOWNLOAD', 'MISSING_OUTBOUND_CONN']"
SC1,Stegano,single,azure_port,0,"['AUTH', 'DOWNLOAD', 'OUTBOUND_CONN']",3,[],0,[],0,0.0,expected_recall,,0.0,,0.0,,0,0,0,0,[],,,,,"['MISSING_AUTH', 'MISSING_DOWNLOAD', 'MISSING_OUTBOUND_CONN']"
SC1,Stegano,multi,azure_conn+azure_process+azure_security+azure_events+azure_port,0,"['AUTH', 'DOWNLOAD', 'OUTBOUND_CONN']",3,[],0,[],0,0.0,expected_recall,,0.0,,0.0,,0,0,0,0,[],[],[],"['T1001', 'T1001.002', 'T1003', 'T1003.006', 'T1005', 'T1007', 'T1010', 'T1012', 'T1020', 'T1021', 'T1025', 'T1027', 'T1027.003', 'T1027.009', 'T1029', 'T1030', 'T1033', 'T1036', 'T1036.009', 'T1037', 'T1039', 'T1041', 'T1046', 'T1053', 'T1055', 'T1056', 'T1056.001', 'T1056.002', 'T1057', 'T1059', 'T1059.002', 'T1059.004', 'T1059.006', 'T1069', 'T1069.001', 'T1069.002', 'T1070.004', 'T1078', 'T1082', 'T1083', 'T1087', 'T1087.001', 'T1087.002', 'T1090', 'T1098', 'T1105', 'T1106', 'T1110', 'T1110.001', 'T1110.003', 'T1112', 'T1113', 'T1115', 'T1127', 'T1129', 'T1132', 'T1132.001', 'T1134', 'T1135', 'T1136', 'T1136.001', 'T1195.002', 'T1204.002', 'T1207', 'T1213', 'T1217', 'T1218', 'T1221', 'T1485', 'T1518', 'T1528', 'T1539', 'T1543.001', 'T1543.004', 'T1546', 'T1546.014', 'T1547', 'T1547.015', 'T1548.003', 'T1548.004', 'T1550', 'T1552', 'T1552.001', 'T1552.003', 'T1553', 'T1553.001', 'T1553.005', 'T1555', 'T1558', 'T1559', 'T1562', 'T1564.002', 'T1564.003', 'T1564.004', 'T1565', 'T1570', 'T1572', 'T1574', 'T1588', 'T1590', 'T1590.005', 'T1608', 'T1620', 'T1647']",[],[]
SC2,Starter,single,syslog,9732,"['AUTH', 'DOWNLOAD', 'OUTBOUND_CONN']",3,"['AUTH', 'DOWNLOAD']",2,"['AUTH', 'DOWNLOAD']",2,0.6666666666666666,expected_recall,,0.6666666666666666,1.0,0.6666666666666666,1.0,2880,0,0,1,[],,,,,['MISSING_OUTBOUND_CONN']
SC2,Starter,single,azure_events,0,"['AUTH', 'DOWNLOAD', 'OUTBOUND_CONN']",3,[],0,[],0,0.0,expected_recall,,0.0,,0.0,,0,0,0,0,[],,,,,"['MISSING_AUTH', 'MISSING_DOWNLOAD', 'MISSING_OUTBOUND_CONN']"
SC2,Starter,combo2,syslog+azure_events,9732,"['AUTH', 'DOWNLOAD', 'OUTBOUND_CONN']",3,"['AUTH', 'DOWNLOAD']",2,"['AUTH', 'DOWNLOAD']",2,0.6666666666666666,expected_recall,,0.6666666666666666,1.0,0.6666666666666666,1.0,2880,0,0,1,[],,,,,['MISSING_OUTBOUND_CONN']
SC2,Starter,multi,azure_events+syslog,9732,"['AUTH', 'DOWNLOAD', 'OUTBOUND_CONN']",3,"['AUTH', 'DOWNLOAD']",2,"['AUTH', 'DOWNLOAD']",2,0.6666666666666666,expected_recall,,0.6666666666666666,1.0,0.6666666666666666,1.0,2880,0,0,1,[],"['T1021.001', 'T1021.004', 'T1033', 'T1053.003', 'T1059.004', 'T1110', 'T1548.003']","['T1033', 'T1059.004', 'T1110', 'T1548.003']","['T1003', 'T1003.006', 'T1005', 'T1007', 'T1010', 'T1012', 'T1020', 'T1021', 'T1025', 'T1027', 'T1027.010', 'T1029', 'T1030', 'T1036', 'T1036.009', 'T1037', 'T1039', 'T1041', 'T1046', 'T1053', 'T1055', 'T1056', 'T1056.001', 'T1056.002', 'T1057', 'T1059', 'T1059.002', 'T1059.003', 'T1059.005', 'T1059.006', 'T1060', 'T1069', 'T1069.001', 'T1069.002', 'T1070.004', 'T1078', 'T1082', 'T1083', 'T1087', 'T1087.001', 'T1087.002', 'T1090', 'T1098', 'T1105', 'T1106', 'T1110.001', 'T1110.003', 'T1112', 'T1113', 'T1115', 'T1127', 'T1129', 'T1132', 'T1134', 'T1135', 'T1136', 'T1136.001', 'T1140', 'T1195.002', 'T1204.002', 'T1207', 'T1213', 'T1217', 'T1218', 'T1218.005', 'T1485', 'T1518', 'T1528', 'T1539', 'T1543.001', 'T1543.004', 'T1546', 'T1546.014', 'T1547', 'T1547.015', 'T1548.004', 'T1550', 'T1552', 'T1552.001', 'T1552.003', 'T1553', 'T1553.001', 'T1555', 'T1558', 'T1559', 'T1562', 'T1564.002', 'T1564.003', 'T1565', 'T1570', 'T1572', 'T1574', 'T1588', 'T1590', 'T1590.005', 'T1608', 'T1620', 'T1647', 'T1659']","['T1021.001', 'T1021.004', 'T1053.003']",[]
